fpr	tpr
0.01098901098901099	0.0
0.02197802197802198	0.0
0.03296703296703297	0.0
0.04395604395604396	0.0
0.04395604395604396	0.0056179775280898875
0.054945054945054944	0.0056179775280898875
0.06593406593406594	0.0056179775280898875
0.07692307692307693	0.0056179775280898875
0.07692307692307693	0.011235955056179775
0.08791208791208792	0.011235955056179775
0.0989010989010989	0.011235955056179775
0.0989010989010989	0.016853932584269662
0.10989010989010989	0.016853932584269662
0.12087912087912088	0.016853932584269662
0.12087912087912088	0.02247191011235955
0.13186813186813187	0.02247191011235955
0.13186813186813187	0.028089887640449437
0.13186813186813187	0.033707865168539325
0.14285714285714285	0.033707865168539325
0.15384615384615385	0.033707865168539325
0.15384615384615385	0.03932584269662921
0.16483516483516483	0.03932584269662921
0.17582417582417584	0.03932584269662921
0.18681318681318682	0.03932584269662921
0.1978021978021978	0.03932584269662921
0.2087912087912088	0.03932584269662921
0.2087912087912088	0.0449438202247191
0.21978021978021978	0.0449438202247191
0.21978021978021978	0.05056179775280899
0.21978021978021978	0.056179775280898875
0.23076923076923078	0.056179775280898875
0.24175824175824176	0.056179775280898875
0.25274725274725274	0.056179775280898875
0.26373626373626374	0.056179775280898875
0.27472527472527475	0.056179775280898875
0.2857142857142857	0.056179775280898875
0.2967032967032967	0.056179775280898875
0.3076923076923077	0.056179775280898875
0.31868131868131866	0.056179775280898875
0.31868131868131866	0.06179775280898876
0.31868131868131866	0.06741573033707865
0.31868131868131866	0.07303370786516854
0.32967032967032966	0.07303370786516854
0.34065934065934067	0.07303370786516854
0.34065934065934067	0.07865168539325842
0.3516483516483517	0.07865168539325842
0.3626373626373626	0.07865168539325842
0.37362637362637363	0.07865168539325842
0.37362637362637363	0.08426966292134831
0.37362637362637363	0.0898876404494382
0.38461538461538464	0.0898876404494382
0.3956043956043956	0.0898876404494382
0.4065934065934066	0.0898876404494382
0.4175824175824176	0.0898876404494382
0.42857142857142855	0.0898876404494382
0.43956043956043955	0.0898876404494382
0.43956043956043955	0.09550561797752809
0.43956043956043955	0.10112359550561797
0.43956043956043955	0.10674157303370786
0.45054945054945056	0.10674157303370786
0.45054945054945056	0.11235955056179775
0.46153846153846156	0.11235955056179775
